行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
士林,臺北市立士林運動中心,臺北市士林區士商路1號,臺北市立士林運動中心,02-28806066,06:00~22:00,6,中心內,25.08936021,121.5215422
大同,臺北市立大同運動中心,臺北市大同區大龍街51號,臺北市立大同運動中心,02-25920055,06:00~22:00,5,中心內,25.06526778,121.5163201
大安,臺北市立大安運動中心,臺北市大安區辛亥路3段55號,臺北市立大安運動中心,02-23770300,06:00~22:00,7,中心內,25.02074053,121.5457573
中山,臺北市立中山運動中心,臺北市中山區中山北路二段44巷2號,臺北市立中山運動中心,02-25811060,06:00~22:00,6,中心內,25.05484015,121.5213789
中正,臺北市立中正運動中心,臺北市中正區信義路一段一號,臺北市立中正運動中心,02-33225016,06:00~22:00,6,中心內,25.03845581,121.5194611
內湖,臺北市立內湖運動中心,臺北市內湖區洲子街12號,臺北市立內湖運動中心,02-26277776,06:00~22:00,4,中心內,25.07815771,121.5747662
文山,臺北市立文山運動中心,臺北市文山區興隆路3段222號,臺北市立文山運動中心,02-22308268,06:00~22:00,7,中心內,24.99701502,121.5594546
北投,臺北市立北投運動中心,臺北市北投區石牌路一段39巷100號,臺北市立北投運動中心,02-28202880,06:00~22:00,3,中心內,25.11650037,121.5098325
松山,臺北市立松山運動中心,臺北市松山區敦化北路一號,臺北市立松山運動中心,02-66176789,06:00~22:00,3,中心內,25.04859453,121.5503855
信義,臺北市立信義運動中心,臺北市信義區松勤路100號,臺北市立信義運動中心,02-87861911,06:00~22:00,5,中心內,25.03169883,121.5667685
南港,臺北市立南港運動中心,臺北市南港區玉成街69號,臺北市立南港運動中心,02-22536279,06:00~22:00,8,中心內,25.04879385,121.5818753
萬華,臺北市立萬華運動中心,臺北市萬華區西寧南路6之1號,臺北市立萬華運動中心,02-23818878,06:00~22:00,6,中心內,25.04741365,121.5066212
文山,臺北市立圖書館力行分館,臺北市文山區一壽街22號5~8樓,臺北市立圖書館力行分館,02-86612196,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,24.97961053,121.5563629
松山,臺北市立圖書館三民分館,臺北市松山區民生東路五段163之1號5、6樓,臺北市立圖書館三民分館,02-27600408,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.05927324,121.5628367
信義,臺北市立圖書館三興分館,臺北市信義區吳興街156巷6號4~5樓,臺北市立圖書館三興分館,02-87321063,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.02907637,121.5611878
士林,臺北市立圖書館士林分館,臺北市士林區基河路363號2樓,臺北市立圖書館士林分館,02-28361994,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.09583011,121.5182993
大同,臺北市立圖書館大同分館,臺北市大同區重慶北路三段318號,臺北市立圖書館大同分館,02-29543236,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.07430385,121.5135545
大安,臺北市立圖書館大安分館,臺北市大安區辛亥路三段223號4樓,臺北市立圖書館大安分館,02-27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.01604062,121.5508034
中山,臺北市立圖書館大直分館,臺北市中山區大直街25號3樓,臺北市立圖書館大直分館,02-25336535,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.08188459,121.546756
中山,臺北市立圖書館中山分館,臺北市中山區松江路367號8樓,臺北市立圖書館中山分館,02-25026442,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.06438509,121.5335052
松山,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號7~10樓,臺北市立圖書館中崙分館,02-87736858,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0484271,121.5458384
內湖,臺北市立圖書館內湖分館,臺北市內湖區民權東路六段99號6樓,臺北市立圖書館內湖分館,02-27918772,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.06923161,121.5890989
信義,臺北市立圖書館六合分館,臺北市信義區松仁路240巷19號3~5樓,臺北市立圖書館六合分館,02-27292485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.02432019,121.5688375
士林,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,臺北市立圖書館天母分館,02-28736203,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.12361421,121.5330612
文山,臺北市立圖書館文山分館,臺北市文山區興隆路二段160號7-9樓,臺北市立圖書館文山分館,02-29315339,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.00158548,121.5514187
文山,臺北市立圖書館木柵分館,臺北市文山區保儀路一段13巷3號3樓,臺北市立圖書館木柵分館,02-29397520,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,24.98851297,121.5691594
北投,臺北市立圖書館北投分館,臺北市北投區光明路251號,臺北市立圖書館北投分館,02-28912095,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.1365254,121.5063763
中正,臺北市立圖書館古亭分館,臺北市中正區汀州路二段265號,臺北市立圖書館古亭分館,02-23678734,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.02268178,121.5238423
松山,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4樓,臺北市立圖書館民生分館,02-27138083,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.05718185,121.5515192
北投,臺北市立圖書館永明閱覽室,臺北市北投區石牌路二段115號7、8樓,臺北市立圖書館永明閱覽室,02-28234141,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.11832386,121.5175113
文山,臺北市立圖書館永建分館,臺北市文山區木柵路一段177號4樓,臺北市立圖書館永建分館,02-22367448,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,24.98775989,121.5509396
信義,臺北市立圖書館永春分館,臺北市信義區松山路294號3、4樓,臺北市立圖書館永春分館,02-27609730,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.04309149,121.5776147
北投,臺北市立圖書館石牌分館,臺北市北投區明德路208巷5號3-10樓,臺北市立圖書館石牌分館,02-28239634,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,8,館內,25.1130648,121.5227624
北投,臺北市立圖書館吉利分館,臺北市北投區立農街一段366號,臺北市立圖書館吉利分館,02-28201633,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.11930587,121.5083853
文山,臺北市立圖書館安康民眾閱覽室,臺北市文山區興隆路4段105巷1號4樓,臺北市立圖書館安康民眾閱覽室,02-29390180,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,24.98780899,121.56071
大安,臺北市立圖書館成功民眾閱覽室,臺北市大安區和平東路二段311巷29號4樓,臺北市立圖書館成功民眾閱覽室,02-27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.02543629,121.5452723
內湖,臺北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,臺北市立圖書館西中分館,02-87515497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.08473298,121.5666419
內湖,臺北市立圖書館西湖分館,臺北市內湖區內湖路一段594號,臺北市立圖書館西湖分館,02-27973183,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.07868698,121.5772424
萬華,臺北市立圖書館西園分館,臺北市萬華區興寧街6號,臺北市立圖書館西園分館,02-23069046,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.03219528,121.5017176
北投,臺北市立圖書館秀山民眾閱覽室,臺北市北投區中和街534號5至9樓,臺北市立圖書館秀山民眾閱覽室,02-28921475,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.14560371,121.4931619
大同,臺北市立圖書館延平分館,臺北市大同區保安街47號,臺北市立圖書館延平分館,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,館內,25.05916988,121.5120921
大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,02-27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.03641012,121.5550882
內湖,臺北市立圖書館東湖分館,臺北市內湖區五分街6號,臺北市立圖書館東湖分館,02-26323378,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.06741638,121.6126097
萬華,臺北市立圖書館東園分館,臺北市萬華區東園街199號,臺北市立圖書館東園分館,02-23070460,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.02266195,121.4981386
松山,臺北市立圖書館松山分館,臺北市松山區八德路四段688號6、7、8樓,臺北市立圖書館松山分館,02-27531875,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.04987447,121.5768489
中山,臺北市立圖書館長安分館,臺北市中山區長安西路3號4樓,臺北市立圖書館長安分館,02-25625510,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.05021082,121.5209543
南港,臺北市立圖書館南港分館,臺北市南港區南港路一段350號,臺北市立圖書館南港分館,02-27825232,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.05493127,121.6080389
中正,臺北市立圖書館城中分館,臺北市中正區濟南路二段46號3樓,臺北市立圖書館城中分館,02-23938274,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.04021095,121.5309525
大同,臺北市立圖書館建成分館,臺北市大同區民生西路198號4樓,臺北市立圖書館建成分館,02-25582320,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.05691233,121.5163948
中山,臺北市立圖書館恆安民眾閱覽室,臺北市中山區民權東路一段71巷19號,臺北市立圖書館恆安民眾閱覽室,02-25935482,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.06337153,121.527194
萬華,臺北市立圖書館柳鄉民眾閱覽室,臺北市萬華區環河南路二段102號4樓,臺北市立圖書館柳鄉民眾閱覽室,02-23080586,09:00~17:00,1,館內,25.03691426,121.495379
松山,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,臺北市立圖書館啟明分館,02-25148443,09:00~17:00,4,館內,25.05456382,121.5514689
北投,臺北市立圖書館清江分館,臺北市北投區公館路198號3樓,臺北市立圖書館清江分館,02-28960315,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.12772843,121.5069371
文山,臺北市立圖書館景美分館,臺北市文山區羅斯福路五段176巷50號,臺北市立圖書館景美分館,02-29328457,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.00362011,121.5363351
文山,臺北市立圖書館景新分館,臺北市文山區景後街151號5號10樓,臺北市立圖書館景新分館,02-29331244,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,7,館內,24.98992816,121.5419023
文山,臺北市立圖書館萬芳民眾閱覽室,臺北市文山區萬美街1段25號,臺北市立圖書館萬芳民眾閱覽室,02-22305233,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.00221578,121.5691783
萬華,臺北市立圖書館萬華分館,臺北市東園街19號5~7樓,臺北市立圖書館萬華分館,02-23391056,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.02770851,121.4957676
文山,臺北市立圖書館萬興分館,臺北市文山區萬壽路27號4樓,臺北市立圖書館萬興分館,02-22345501,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,24.98868577,121.5765014
士林,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路5段136巷1號,臺北市立圖書館葫蘆堵分館,02-28126513,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.08230568,121.5107817
大安,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,臺北市立圖書館道藩分館,02-27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.02157737,121.5440498
北投,臺北市立圖書館稻香分館,臺北市北投區稻香路81號3、4樓,臺北市立圖書館稻香分館,02-28940662,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.14102112,121.4894972
萬華,臺北市立圖書館龍山分館,臺北市萬華區桂林路65巷6號,臺北市立圖書館龍山分館,02-23311497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0385262,121.5023347
大安,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號3樓,臺北市立圖書館龍安民眾閱覽室,02-23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.02853871,121.5294659
南港,臺北市立圖書館龍華民眾閱覽室,臺北市南港區東新街63巷8號,臺北市立圖書館龍華民眾閱覽室,02-27851740,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.04759188,121.5870033
大安,臺北市立圖書館總館,臺北市大安區建國南路二段125號,臺北市立圖書館總館,02-27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,21,館內,25.02915599,121.5383982
南港,臺北市立圖書館舊莊分館,臺北市南港區舊莊街1段91巷11號2樓,臺北市立圖書館舊莊分館,02-27837212,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.04132987,121.6194389
大同,臺北市立圖書館蘭州民眾閱覽室,臺北市大同區昌吉街57號4樓,臺北市立圖書館蘭州民眾閱覽室,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.06624358,121.5151563
大同,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,臺北市立聯合醫院中興院區,02-25523234#3279,00:00~24:00,48,院區內,25.05113521,121.5094199
大安,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,臺北市立聯合醫院仁愛院區,02-27093600,00:00~24:00,55,院區內,25.03720801,121.5452249
中正,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,臺北市立聯合醫院和平院區,02-23889595,00:00~24:00,32,院區內,25.03553378,121.5068341
中正,臺北市立聯合醫院和平婦幼院區,臺北市中正區福州街12號,臺北市立聯合醫院和平婦幼院區,02-23916470#214,00:00~24:00,18,院區內,25.0290017,121.519273
南港,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,臺北市立聯合醫院忠孝院區,02-27861288#8094,00:00~24:00,35,院區內,25.04654103,121.5861412
信義,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,臺北市立聯合醫院松德院區,02-27263141#1390,00:00~24:00,40,院區內,25.02966198,121.5744646
中山,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,臺北市立聯合醫院林森中醫院區,02-25916681#533,00:00~24:00,8,院區內,25.06349708,121.5254374
士林,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,臺北市立聯合醫院陽明院區,02-28353456,00:00~24:00,47,院區內,25.10528287,121.5321811
萬華,臺北市立聯合醫院林森中醫昆明院區,臺北市萬華區昆明街100號,臺北市立聯合醫院中醫院區,02-23887008,00:00~24:00,13,院區內,25.0443191,121.5047331
士林,士林區公所,臺北市士林區中正路439號,士林區公所,02-28826200,週一至週五：08:30~17:30,7,建物內,25.09275474,121.5195654
士林,士林區戶政事務所,臺北市士林區中正路439號,士林區戶政事務所,02-28803252,週一至週五：08:30~20:00,4,建物內,25.09267739,121.5196371
士林,士林地政事務所,臺北市士林區中正路439號,士林區地政事務所,02-28812483,週一至週五：08:30~17:00,3,建物內,25.09271129,121.5196788
大同,大同區公所,臺北市大同區昌吉街57號,大同區公所,02-25975323,週一至週五：08:30~17:30,3,建物內,25.06619335,121.5152676
大同,大同區戶政事務所,臺北市大同區昌吉街57號,大同區戶政事務所,02-25942569,週一至週五：08:30~20:00,1,建物內,25.06605909,121.51512
大安,大安地政事務所,臺北市大安區信義路四段335巷6號,大安地政事務所,02-27548900,週一至週五：08:30~17:00,5,建物內,25.03382748,121.556438
大安,大安區公所,臺北市大安區新生南路二段86號,大安區公所,02-23511711,週一至週五：08:30~17:30,4,建物內,25.02642119,121.5345108
大安,大安區戶政事務所,臺北市大安區新生南路二段86號,大安區戶政事務所,02-23587877,週一至週五：08:30~20:00,2,建物內,25.02642041,121.5345116
中山,中山區公所,臺北市中山區松江路367號,中山區公所,02-25031369,週一至週五：08:30~17:30,3,建物內,25.06427716,121.5335765
中山,中山區戶政事務所,臺北市中山區松江路367號,中山區戶政事務所,02-25032461,週一至週五：08:30~20:00,1,建物內,25.06443053,121.5336001
中山,中山區地政事務所,臺北市中山區松江路357巷1號,中山區地政事務所,02-25022881,週一至週五：08:30~17:00,7,建物內,25.06363567,121.5341569
中正,中正區公所,臺北市中正區忠孝東路一段108號8樓,中正區公所,02-23416721,週一至週五：08:30~17:30,4,建物內,25.04432179,121.524762
內湖,內湖區公所,臺北市內湖區民權東路6段99號,內湖區公所,02-27925828,週一至週五：08:30~17:30,4,建物內,25.06929002,121.5889481
內湖,內湖區戶政事務所,臺北市內湖區民權東路六段99號,內湖區戶政事務所,02-27912277,週一至週五：08:30~20:00,1,建物內,25.06931819,121.5890863
文山,文山區公所,臺北市文山區木柵路三段220號,文山區公所,02-29365522,週一至週五：08:30~17:30,5,建物內,24.98962449,121.5701323
文山,文山區戶政事務所,臺北市文山區木柵路三段220號,文山區戶政事務所,02-29395885,週一至週五：08:30~20:00,3,建物內,24.98963969,121.570082
文山,文山區戶政事務所(景美辦事處),臺北市文山區興隆路二段160號,文山區戶政事務所(景美辦事處),02-29395885#2110,週一至週五：08:30~20:00,1,建物內,25.00158612,121.5514195
北投,北投區戶政事務所,臺北市北投區新市街30號,北投區戶政事務所,02-28924170,週一至週五：08:30~20:00,2,建物內,25.13201618,121.503268
文山,古亭地政事務所,臺北市文山區萬隆街47之12號,古亭地政事務所,02-29355369,週一至週五：08:30~17:00,5,建物內,25.00065043,121.5361239
松山,松山區公所,臺北市松山區八德路四段692號,松山區公所,02-87878787,週一至週五：08:30~17:30,4,建物內,25.04984582,121.5772409
松山,松山區戶政事務所,臺北市松山區八德路四段692號,松山區戶政事務所,02-27533043,週一至週五：08:30~20:00,2,建物內,25.0499396,121.577286
信義,松山地政事務所,臺北市信義區莊敬路391巷11弄2號,松山區地政事務所,02-27230711,週一至週五：08:30~17:00,4,建物內,25.02884559,121.5661534
信義,信義區公所,臺北市信義區信義路五段15號,信義區公所,02-27239777,週一至週五：08:30~17:30,7,建物內,25.03315829,121.5668769
信義,信義區戶政事務所,臺北市信義區信義路五段15號,信義區戶政事務所,02-27233977,週一至週五：08:30~20:00,2,建物內,25.03332693,121.5668474
南港,南港區公所,臺北市南港區南港路一段360號,南港區公所,02-27831343,週一至週五：08:30~17:30,5,建物內,25.05470544,121.6066931
南港,南港區戶政事務所,臺北市南港區南港路一段1段號360號4樓,南港區戶政事務所,02-27825196,週一至週五：08:30~20:00,1,建物內,25.05455013,121.606773
萬華,建成地政事務所,臺北市萬華區和平西路三段120號,建成地政事務所,02-23062122,週一至週五：08:30~17:00,4,建物內,25.03500141,121.4998878
萬華,萬華區公所,臺北市萬華區和平西路三段120號,萬華區公所,02-23064468,週一至週五：08:30~17:30,3,建物內,25.03483961,121.4997957
萬華,萬華區戶政事務所,臺北市萬華區和平西路三段120號,萬華區戶政事務所,02-23062706,週一至週五：08:30~20:00,4,建物內,25.03500291,121.4998873
信義,臺北市政府,臺北市信義區市府路1號,臺北市政府,02-27208889,週一至週五：08:30~17:30,94,建物內,25.03754067,121.564433
信義,市府轉運站,臺北市信義區忠孝東路5段6號,市府轉運站,02-87806252,依據起訖班車時間,2,建物內,25.04054645,121.5648419
松山,交通部臺灣鐵路管理局-松山火車站,臺北市松山區松山路11號,交通部臺灣鐵路管理局-松山火車站,02-21910096,依據起訖班車時間,1,建物內,25.04928416,121.5782828
南港,交通部臺灣鐵路管理局-南港火車站,臺北市南港區南港路一段313號,交通部臺灣鐵路管理局-南港火車站,02-21910096,依據起訖班車時間,6,建物內,25.05308967,121.6069548
萬華,交通部臺灣鐵路管理局-萬華火車站,臺北市萬華區康定路382號,交通部臺灣鐵路管理局-萬華火車站,02-21910096,依據起訖班車時間,8,建物內,25.03328217,121.4998485
中正,交通部臺灣鐵路管理局-臺北火車站,臺北市中正區北平西路3號,交通部臺灣鐵路管理局-臺北火車站,02-21910096,依據起訖班車時間,11,建物內,25.04779348,121.5169541
松山,臺北松山機場,臺北市松山區敦化北路340號之9,臺北松山機場,02-87703460,依據起訖班機時間,36,建物內,25.06756638,121.5526977
中山,臺北轉運站,臺北市中山區市民大道1段209號14樓,臺北轉運站,02-77335888,依據起訖班車時間,4,建物內,25.04885361,121.5187093
士林,臺北市兒童新樂園,臺北市士林區承德路5段55號,臺北市兒童新樂園,02-28333823#105,週一至週日09:00–17:00 ,21,建物內,25.09723619,121.5149425
士林,臺北市立天文科學教育館,臺北市士林區基河路363號,臺北市立天文科學教育館,02-28314551,週二至週日09:00–17:00 ,8,建物內,25.09581585,121.5183641
士林,臺北市天母棒球場,臺北市士林區忠誠路2段77號,臺北市天母棒球場,02-28736548#101,參考該網站資訊,12,建物內,25.11344568,121.5329255
士林,國立臺灣科學教育館,臺北市士林區士商路189號,國立臺灣科學教育館,02-66101234#1000,"週二至週五09:00~17:00  
週六至週日09:00~18:00",22,建物內,25.09626003,121.5164735
士林,國立故宮博物院,臺北市士林區至善路二段221號,國立故宮博物院,02-28812021,"週日至週四08:30~18:30  
週五至週六08:30~21:00",5,建物內,25.10235446,121.5484918
大安,客家文化會館 ,臺北市信義路三段157巷11號,客家文化會館 ,02-27026141,週一至週日09:00~21:00,4,建物內,25.0345272,121.5430698
中山,臺北花博夢想館,臺北市中山區濱江街12號,臺北花博夢想館,02-21828886,參考最新展演活動資訊,1,建物內,25.07113917,121.5308363
中山,臺北花博爭艷館,臺北市中山區玉門街1號,臺北花博爭艷館,02-21828886,參考最新展演活動資訊,3,建物內,25.06963035,121.5207546
中山,臺北市立美術館,臺北市中山北路三段181號,臺北市立美術館,02-25957656,週二至週日09:30–17:30,8,建物內,25.07241205,121.5248099
中正,臺北植物園,臺北市中正區南海路53號,臺北植物園,02-23039978#1420,週一至週日05:30~22:00,12,建物內,25.03185189,121.5094601
中正,臺北市客家文化主題公園,臺北市中正區汀州路三段2號,臺北市客家文化主題公園,02-23691198,週二至週日09:00~18:00,6,建物內,25.02025133,121.5253578
中正,臺北市青少年發展處,臺北市中正區仁愛路一段17號,臺北市青少年發展處,02-23514078,週一至週日09:00~21:00,5,建物內,25.03898129,121.5222553
中正,臺北市中山堂,臺北市中正區延平南路98號,臺北市中山堂,02-23813137,週一至週日09:30–21:00 ,1,建物內,25.04318953,121.5096791
中正,郵政博物館,臺北市中正區重慶南路二段45號,郵政博物館,02-23945185,週二至週日09:00–17:00 ,6,建物內,25.03166494,121.5147654
中正,國軍歷史文物館,臺北市中正區貴陽街一段243號,國軍歷史文物館,02-23315730,週一至週五09:00~16:00,1,建物內,25.03934054,121.5082774
中正,國立臺灣博物館,臺北市中正區襄陽路2號,國立臺灣博物館,02-23822566,週二至週日09:30–17:00 ,3,建物內,25.04275498,121.5150333
中正,國立中正紀念堂,臺北市中正區中山南路21號,國立中正紀念堂,02-23431100#1169,週一至週日09:00–18:00 ,13,建物內,25.03461221,121.5217809
文山,臺北市立動物園,臺北市文山區新光路二段30號,臺北市立動物園,02-29382300#630,週一至週日09:00~17:00,17,建物內,24.99834644,121.5810358
北投,捷運北投會館,臺北市北投區大業路527巷88號,捷運北投會館,02-28930105,"週一至週五15:00~22:00
例假日及寒、暑假：09:00~22:00",37,建物內,25.13454596,121.483807
北投,北投復興公園,臺北市北投區中和街200號,北投復興公園,0979-185878,週二至週日08:00~18:00,1,建物內,25.1389943,121.5023844
松山,臺北體育館,臺北市松山區南京東路4段10號,臺北體育館,02-2570 2330#6512,週一至週日06:00~22:00,10,建物內,25.05130579,121.5520834
松山,臺北田徑場,臺北市松山區敦化北路3號,臺北田徑場,02-25702330,週一至週日05:00~09:00，18:00~22:00,10,建物內,25.04958342,121.5514148
松山,臺北市藝文推廣處,臺北市松山區八德路三段25號,臺北市藝文推廣處,02-25775931,週二至週日09:00–21:00 ,16,建物內,25.04838952,121.5522834
松山,臺北小巨蛋,臺北市南京東路4段2號,臺北小巨蛋,02-25783536,週一至週日09:00~22:00,11,建物內,25.05110203,121.5498516
信義,國立國父紀念館,臺北市信義區仁愛路四段505號,國立國父紀念館,02-27588008#596,週一至週日09:00–18:00 ,11,建物內,25.04003193,121.5602446
南港,南港展覽館,臺北市南港區經貿二路1號,南港展覽館,02-27255200,週一至週日07:00~22:00,26,建物內,25.056602,121.6181158
萬華,臺北市立文獻館,臺北市萬華區中華路1段174-1號,臺北市立文獻館,02-23115355,週一至週五08:30–17:30,2,建物內,25.04033209,121.5068245
